Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+024.666,+001.071,+165.768,+0.714,+0.490,-0.594,+00.1740,-02.4480,+09.7100,-00.000337,-00.000307,+00.000133
+024.655,+001.068,+165.766,+0.713,+0.495,-0.595,+00.2000,-02.4690,+09.6990,+00.000050,-00.000314,+00.000150
+024.638,+001.067,+165.773,+0.713,+0.495,-0.591,+00.1990,-02.4700,+09.6900,-00.000727,-00.000709,+00.000806
+024.645,+001.064,+165.775,+0.716,+0.495,-0.591,+00.1860,-02.4580,+09.7370,-00.000215,+00.000388,-00.000886
+024.643,+001.068,+165.775,+0.716,+0.488,-0.587,+00.1960,-02.4370,+09.7550,-00.000160,+00.000297,+00.000836
+024.639,+001.067,+165.780,+0.714,+0.494,-0.593,+00.2160,-02.4960,+09.7770,-00.001898,-00.001278,+00.003595
+024.634,+001.065,+165.785,+0.716,+0.493,-0.592,+00.1780,-02.4300,+09.7030,+00.000596,-00.000411,+00.000821
+024.687,+001.069,+165.770,+0.716,+0.495,-0.592,+00.2270,-02.4320,+09.7150,+00.001710,+00.001240,+00.000928
+024.736,+001.064,+165.783,+0.711,+0.492,-0.586,+00.1810,-02.4540,+09.7020,-00.001024,+00.000471,-00.000022
+024.756,+001.060,+165.783,+0.710,+0.488,-0.592,+00.1770,-02.4680,+09.7200,-00.000676,+00.000854,-00.001047
+024.785,+001.059,+165.777,+0.715,+0.495,-0.594,+00.1880,-02.4730,+09.6880,-00.000468,-00.000667,-00.000671
+024.801,+001.065,+165.779,+0.715,+0.492,-0.596,+00.2100,-02.4420,+09.6970,+00.000635,+00.000636,-00.000267
+024.834,+001.063,+165.778,+0.717,+0.495,-0.590,+00.1790,-02.4740,+09.7180,+00.000215,+00.001029,-00.000550
+024.844,+001.067,+165.787,+0.716,+0.493,-0.592,+00.1890,-02.4390,+09.6810,+00.000746,+00.000266,-00.000945
+024.868,+001.072,+165.776,+0.715,+0.510,-0.595,+00.2190,-02.4380,+09.7740,-00.000460,-00.000387,+00.000344
+024.853,+001.077,+165.769,+0.712,+0.492,-0.591,+00.1810,-02.4730,+09.7250,-00.000103,-00.000395,-00.000230
+024.862,+001.076,+165.767,+0.715,+0.495,-0.596,+00.2080,-02.4330,+09.6840,+00.001030,+00.000415,+00.000297
+024.856,+001.080,+165.767,+0.715,+0.495,-0.596,+00.2100,-02.4590,+09.7430,+00.001905,+00.000672,+00.000193
+024.830,+001.073,+165.762,+0.711,+0.497,-0.592,+00.1980,-02.4440,+09.6980,+00.000295,-00.000095,+00.001163
+024.834,+001.074,+165.763,+0.713,+0.491,-0.597,+00.1880,-02.4850,+09.7220,+00.000171,-00.000027,-00.000060
+024.843,+001.074,+165.762,+0.716,+0.505,-0.595,+00.1800,-02.4790,+09.6990,+00.000293,+00.000624,+00.000016
+024.854,+001.077,+165.755,+0.712,+0.507,-0.590,+00.1840,-02.4720,+09.7130,-00.000158,+00.000262,+00.000940
+024.835,+001.075,+165.750,+0.715,+0.499,-0.593,+00.1700,-02.4630,+09.7170,-00.000192,+00.000128,-00.000372
+024.842,+001.071,+165.762,+0.712,+0.501,-0.593,+00.2100,-02.4530,+09.7360,+00.001526,-00.000006,+00.000371
+024.848,+001.064,+165.781,+0.714,+0.490,-0.593,+00.2050,-02.4550,+09.7200,-00.000469,-00.000283,+00.000042
+024.850,+001.070,+165.782,+0.716,+0.493,-0.594,+00.1890,-02.4550,+09.7000,+00.000344,-00.001001,-00.000009
+024.847,+001.069,+165.785,+0.714,+0.505,-0.591,+00.1850,-02.4700,+09.7150,+00.000664,+00.000365,-00.001005
+024.847,+001.069,+165.783,+0.716,+0.495,-0.585,+00.1790,-02.4620,+09.6810,+00.001076,-00.000610,+00.000782
+024.874,+001.079,+165.781,+0.713,+0.496,-0.593,+00.2000,-02.4770,+09.6860,+00.001007,+00.001333,-00.001385
+024.856,+001.081,+165.774,+0.717,+0.495,-0.594,+00.1710,-02.4680,+09.7170,-00.000115,+00.001123,+00.000376
+024.863,+001.084,+165.776,+0.719,+0.498,-0.590,+00.1860,-02.4670,+09.7060,+00.000583,+00.000950,+00.000478
+024.865,+001.079,+165.779,+0.714,+0.495,-0.591,+00.1980,-02.4470,+09.7090,-00.000614,+00.000218,-00.000309
+024.848,+001.077,+165.784,+0.715,+0.497,-0.602,+00.1790,-02.4470,+09.7040,-00.000116,-00.000854,+00.000166
+024.845,+001.074,+165.781,+0.713,+0.490,-0.589,+00.1950,-02.4520,+09.6990,-00.000164,+00.000412,-00.000287
+024.863,+001.076,+165.776,+0.713,+0.496,-0.595,+00.1760,-02.4620,+09.6920,+00.000160,-00.000639,-00.000218
+024.861,+001.076,+165.774,+0.713,+0.496,-0.600,+00.1960,-02.4580,+09.7150,+00.001117,-00.000212,+00.001567
+024.857,+001.080,+165.779,+0.714,+0.495,-0.591,+00.1630,-02.4720,+09.6990,+00.001576,-00.000091,-00.001574
+024.862,+001.078,+165.768,+0.712,+0.494,-0.588,+00.2130,-02.4880,+09.6880,+00.002913,+00.000076,-00.001380
+024.852,+001.083,+165.779,+0.712,+0.496,-0.588,+00.1910,-02.4970,+09.7330,-00.004347,-00.000699,+00.000940
+024.854,+001.078,+165.775,+0.712,+0.491,-0.600,+00.1950,-02.4670,+09.7040,-00.001071,+00.000975,+00.001554
+024.846,+001.072,+165.775,+0.714,+0.494,-0.589,+00.1960,-02.4650,+09.6610,-00.000605,-00.000120,-00.001048
+024.842,+001.071,+165.774,+0.712,+0.494,-0.591,+00.1830,-02.4780,+09.6660,-00.001514,-00.000497,+00.000076
+024.840,+001.068,+165.776,+0.719,+0.500,-0.592,+00.1950,-02.4700,+09.6960,-00.000612,+00.000962,-00.000916
+024.838,+001.065,+165.784,+0.718,+0.492,-0.601,+00.1880,-02.4640,+09.7260,+00.000062,-00.000337,+00.000287
+024.829,+001.070,+165.787,+0.716,+0.505,-0.593,+00.1860,-02.4680,+09.7280,-00.001360,-00.000054,+00.000673
+024.844,+001.069,+165.791,+0.717,+0.502,-0.598,+00.1840,-02.5070,+09.7560,-00.001437,-00.000492,+00.000135
+024.831,+001.071,+165.794,+0.716,+0.498,-0.591,+00.1750,-02.4660,+09.7470,+00.000580,-00.000280,+00.001038
+024.863,+001.070,+165.796,+0.709,+0.497,-0.596,+00.1710,-02.4250,+09.6770,-00.002123,+00.000342,-00.000955
+024.874,+001.067,+165.796,+0.714,+0.497,-0.588,+00.1590,-02.4130,+09.7780,-00.006839,+00.000315,+00.000855
